source,series_label,year,estimate,moe,factor_to_base,estimate_real
ACS_acs5,median_hh_income,2011,71842,4165,1.4015151515151516,100687.65151515152
ACS_acs5,median_hh_income,2012,73084,3849,1.3728109231225885,100330.51350549125
ACS_acs5,median_hh_income,2013,71380,2711,1.3523391812865497,96529.97076023392
ACS_acs5,median_hh_income,2014,72463,2719,1.3301696865113604,96388.0859936727
ACS_acs5,median_hh_income,2015,74509,3856,1.327878265862762,98938.88171116853
ACS_acs5,median_hh_income,2016,77139,3419,1.3109410430839001,101124.68112244898
ACS_acs5,median_hh_income,2017,80112,3092,1.2836525117957258,102835.9700249792
ACS_acs5,median_hh_income,2018,82647,3228,1.2530479544838797,103560.65429422921
ACS_acs5,median_hh_income,2019,87059,3287,1.2307078233102713,107144.19238956891
ACS_acs5,median_hh_income,2020,84527,4632,1.214548319327731,102662.12578781512
ACS_acs5,median_hh_income,2021,87492,4947,1.158567134268537,101365.35571142285
ACS_acs5,median_hh_income,2022,94173,6619,1.0718424101969872,100938.61529548088
ACS_acs5,median_hh_income,2023,96633,6796,1.0293790340529712,99471.98419764076
