year,cpi_annual_avg,base_year,factor_to_base
2010,319.8,2024,1.4462163852407754
2011,330,2024,1.4015151515151516
2012,336.9,2024,1.3728109231225885
2013,342,2024,1.3523391812865497
2014,347.7,2024,1.3301696865113604
2015,348.3,2024,1.327878265862762
2016,352.8,2024,1.3109410430839001
2017,360.3,2024,1.2836525117957258
2018,369.1,2024,1.2530479544838797
2019,375.8,2024,1.2307078233102713
2020,380.8,2024,1.214548319327731
2021,399.2,2024,1.158567134268537
2022,431.5,2024,1.0718424101969872
2023,449.3,2024,1.0293790340529712
2024,462.5,2024,1
