source,series_label,year,estimate,moe
ACS_acs5,housing_units,2011,11633,383
ACS_acs5,housing_units,2012,12032,414
ACS_acs5,housing_units,2013,12455,373
ACS_acs5,housing_units,2014,12939,328
ACS_acs5,housing_units,2015,13099,371
ACS_acs5,housing_units,2016,13465,375
ACS_acs5,housing_units,2017,13791,424
ACS_acs5,housing_units,2018,14154,321
ACS_acs5,housing_units,2019,14726,476
ACS_acs5,housing_units,2020,15435,592
ACS_acs5,housing_units,2021,15486,550
ACS_acs5,housing_units,2022,15839,625
ACS_acs5,housing_units,2023,16175,614
ACS_acs5,median_hh_income,2011,71842,4165
ACS_acs5,median_hh_income,2012,73084,3849
ACS_acs5,median_hh_income,2013,71380,2711
ACS_acs5,median_hh_income,2014,72463,2719
ACS_acs5,median_hh_income,2015,74509,3856
ACS_acs5,median_hh_income,2016,77139,3419
ACS_acs5,median_hh_income,2017,80112,3092
ACS_acs5,median_hh_income,2018,82647,3228
ACS_acs5,median_hh_income,2019,87059,3287
ACS_acs5,median_hh_income,2020,84527,4632
ACS_acs5,median_hh_income,2021,87492,4947
ACS_acs5,median_hh_income,2022,94173,6619
ACS_acs5,median_hh_income,2023,96633,6796
PEP,pep_density_per_sq_mile,2010,983.263573,NA
PEP,pep_density_per_sq_mile,2011,994.48212132,NA
PEP,pep_density_per_sq_mile,2012,1004.6381887,NA
PEP,pep_density_per_sq_mile,2013,1041.1062831,NA
PEP,pep_density_per_sq_mile,2014,1088.7616764,NA
PEP,pep_density_per_sq_mile,2015,1116.0111865,NA
PEP,pep_density_per_sq_mile,2016,1146.4481393,NA
PEP,pep_density_per_sq_mile,2017,1176.7913438,NA
PEP,pep_density_per_sq_mile,2018,1221.6967865,NA
PEP,pep_density_per_sq_mile,2019,1253.1649707,NA
PEP,pep_population,2010,31465,NA
PEP,pep_population,2011,31824,NA
PEP,pep_population,2012,32149,NA
PEP,pep_population,2013,33316,NA
PEP,pep_population,2014,34841,NA
PEP,pep_population,2015,35713,NA
PEP,pep_population,2016,36687,NA
PEP,pep_population,2017,37658,NA
PEP,pep_population,2018,39095,NA
PEP,pep_population,2019,40102,NA
PEP,pep_population,2024,44428,NA
ACS_acs5,population_acs,2011,29889,326
ACS_acs5,population_acs,2012,31934,494
ACS_acs5,population_acs,2013,33758,743
ACS_acs5,population_acs,2014,35093,474
ACS_acs5,population_acs,2015,36535,570
ACS_acs5,population_acs,2016,37597,749
ACS_acs5,population_acs,2017,38199,778
ACS_acs5,population_acs,2018,38991,646
ACS_acs5,population_acs,2019,41199,1194
ACS_acs5,population_acs,2020,42433,793
ACS_acs5,population_acs,2021,41607,745
ACS_acs5,population_acs,2022,42545,763
ACS_acs5,population_acs,2023,43128,958
Decennial_2000,population_decennial,2000,18694,NA
Decennial_2010,population_decennial,2010,31465,NA
Decennial_2020,population_decennial,2020,42002,NA
