year,annual_cpi
1970,39.025
1971,40.71666666666667
1972,42.05833333333334
1973,44.675
1974,49.59166666666667
1975,54.13333333333333
1976,57.225
1977,60.94166666666666
1978,65.575
1979,73.06666666666666
1980,82.925
1981,91.425
1982,96.9
1983,99.84166666666667
1984,103.25833333333333
1985,106.91666666666667
1986,108.575
1987,112.48333333333333
1988,116.95
1989,122.58333333333333
1990,129.04166666666666
1991,134.25
1992,138.15833333333333
1993,142.05833333333334
1994,145.64166666666668
1995,149.75833333333333
1996,154.14166666666665
1997,157.55833333333334
1998,159.65833333333333
1999,163.23333333333335
2000,168.89166666666665
2001,173.51666666666668
2002,175.875
2003,179.80833333333334
2004,184.48333333333335
2005,190.975
2006,197.14166666666665
2007,202.76716666666667
2008,211.05258333333333
2009,209.62966666666668
2010,213.96683333333334
2011,221.575
2012,226.22925
2013,229.32433333333333
2014,232.7705
2015,231.81
2016,234.076
2017,239.05083333333334
2018,245.14633333333333
2019,249.2215
2020,252.24841666666666
2021,265.50966666666665
2022,287.98375
2023,298.98991666666666
2024,307.5520833333333
2025,315.28463636363637
2026,317.942
