year,date,inflation_rate,series_id
1960,1960-01-01,1.45797598627791,FPCPITOTLZGUSA
1961,1961-01-01,1.07072414764724,FPCPITOTLZGUSA
1962,1962-01-01,1.19877334820186,FPCPITOTLZGUSA
1963,1963-01-01,1.23966942148753,FPCPITOTLZGUSA
1964,1964-01-01,1.27891156462591,FPCPITOTLZGUSA
1965,1965-01-01,1.58516926383662,FPCPITOTLZGUSA
1966,1966-01-01,3.0150753768844,FPCPITOTLZGUSA
1967,1967-01-01,2.77278562259309,FPCPITOTLZGUSA
1968,1968-01-01,4.27179615288537,FPCPITOTLZGUSA
1969,1969-01-01,5.46238620028745,FPCPITOTLZGUSA
1970,1970-01-01,5.83825533848251,FPCPITOTLZGUSA
1971,1971-01-01,4.29276668813051,FPCPITOTLZGUSA
1972,1972-01-01,3.27227824655283,FPCPITOTLZGUSA
1973,1973-01-01,6.17776006377038,FPCPITOTLZGUSA
1974,1974-01-01,11.0548048048048,FPCPITOTLZGUSA
1975,1975-01-01,9.14314686496535,FPCPITOTLZGUSA
1976,1976-01-01,5.74481263549085,FPCPITOTLZGUSA
1977,1977-01-01,6.5016839947284,FPCPITOTLZGUSA
1978,1978-01-01,7.63096383885606,FPCPITOTLZGUSA
1979,1979-01-01,11.2544711292795,FPCPITOTLZGUSA
1980,1980-01-01,13.5492019749684,FPCPITOTLZGUSA
1981,1981-01-01,10.3347153402771,FPCPITOTLZGUSA
1982,1982-01-01,6.13142700027493,FPCPITOTLZGUSA
1983,1983-01-01,3.21243523316065,FPCPITOTLZGUSA
1984,1984-01-01,4.30053547523429,FPCPITOTLZGUSA
1985,1985-01-01,3.54564415209365,FPCPITOTLZGUSA
1986,1986-01-01,1.89804772234276,FPCPITOTLZGUSA
1987,1987-01-01,3.6645632175169,FPCPITOTLZGUSA
1988,1988-01-01,4.07774110744413,FPCPITOTLZGUSA
1989,1989-01-01,4.82700303008944,FPCPITOTLZGUSA
1990,1990-01-01,5.39795643990325,FPCPITOTLZGUSA
1991,1991-01-01,4.2349639645384904,FPCPITOTLZGUSA
1992,1992-01-01,3.02881967814969,FPCPITOTLZGUSA
1993,1993-01-01,2.95165696638559,FPCPITOTLZGUSA
1994,1994-01-01,2.60744159215453,FPCPITOTLZGUSA
1995,1995-01-01,2.80541968853662,FPCPITOTLZGUSA
1996,1996-01-01,2.93120419993441,FPCPITOTLZGUSA
1997,1997-01-01,2.33768993730735,FPCPITOTLZGUSA
1998,1998-01-01,1.55227909874364,FPCPITOTLZGUSA
1999,1999-01-01,2.18802719697358,FPCPITOTLZGUSA
2000,2000-01-01,3.37685727149929,FPCPITOTLZGUSA
2001,2001-01-01,2.82617111885407,FPCPITOTLZGUSA
2002,2002-01-01,1.58603162650601,FPCPITOTLZGUSA
2003,2003-01-01,2.27009497336115,FPCPITOTLZGUSA
2004,2004-01-01,2.67723669309172,FPCPITOTLZGUSA
2005,2005-01-01,3.3927468454955,FPCPITOTLZGUSA
2006,2006-01-01,3.22594410070404,FPCPITOTLZGUSA
2007,2007-01-01,2.85267248150138,FPCPITOTLZGUSA
2008,2008-01-01,3.839100296651,FPCPITOTLZGUSA
2009,2009-01-01,-0.355546266299747,FPCPITOTLZGUSA
2010,2010-01-01,1.6400434423899,FPCPITOTLZGUSA
2011,2011-01-01,3.156841568622,FPCPITOTLZGUSA
2012,2012-01-01,2.06933726526067,FPCPITOTLZGUSA
2013,2013-01-01,1.46483265562717,FPCPITOTLZGUSA
2014,2014-01-01,1.62222297740817,FPCPITOTLZGUSA
2015,2015-01-01,0.118627135552451,FPCPITOTLZGUSA
2016,2016-01-01,1.26158320570536,FPCPITOTLZGUSA
2017,2017-01-01,2.13011000365961,FPCPITOTLZGUSA
2018,2018-01-01,2.44258329692817,FPCPITOTLZGUSA
2019,2019-01-01,1.81221007526021,FPCPITOTLZGUSA
2020,2020-01-01,1.23358439630629,FPCPITOTLZGUSA
2021,2021-01-01,4.69785886363742,FPCPITOTLZGUSA
2022,2022-01-01,8.00279982052121,FPCPITOTLZGUSA
2023,2023-01-01,4.11633838374488,FPCPITOTLZGUSA
2024,2024-01-01,2.94952520485207,FPCPITOTLZGUSA
